neighborhood,lat,lng,population,elderly_pct,children_pct,median_income,tree_cover_pct,pavement_pct,park_area_acres,data_source,heat_index_c,apparent_temp_c,humidity_pct,aqi,wet_bulb_c,solar_ghi,buildings_pct,roads_pct,vegetation_pct,bare_soil_pct,water_pct,impervious_pct,day_temp_c,day_temp_f,night_temp_c,night_temp_f,night_heat_score
Downtown LA,34.045,-118.25,80000,10,15,45000,3,95,5,open-meteo,38.8,38.8,30,84,23.6,910,55,40,3,2,0,95,35.0,95.0,24.0,75.2,72.7
Boyle Heights,34.035,-118.2,95000,9,28,38000,8,83,15,open-meteo,40.1,40.1,28,75,23.8,910,45,38,8,9,0,83,36.5,97.7,24.5,76.1,81.8
Hollywood,34.095,-118.33,85000,11,14,55000,15,75,25,open-meteo,37.5,37.5,28,84,22.5,920,40,35,15,10,0,75,34.0,93.2,23.5,74.3,63.6
Van Nuys,34.185,-118.45,110000,12,22,58000,12,80,20,open-meteo,39.1,39.1,16,84,20.5,920,42,38,12,8,0,80,40.0,104.0,25.0,77.0,90.9
Compton,33.894999999999996,-118.22,95000,9,29,43000,5,88,18,open-meteo,38.6,38.6,30,84,23.4,890,48,40,5,7,0,88,35.5,95.9,23.8,74.8,69.1
Santa Monica,34.015,-118.47999999999999,90000,17,15,98000,35,50,45,open-meteo,30.0,30.0,59,84,21.2,910,30,20,35,0,15,50,28.0,82.4,20.0,68.0,0.0
Pacoima,34.265,-118.42,105000,8,30,41000,6,88,10,open-meteo,38.7,38.7,17,63,20.6,930,46,42,6,6,0,88,41.0,105.8,25.5,77.9,100.0
Echo Park,34.075,-118.255,45000,10,18,62000,25,65,55,open-meteo,39.4,39.4,29,84,23.7,910,35,30,25,8,2,65,34.5,94.1,23.8,74.8,69.1
South LA,33.975,-118.28,120000,9,32,35000,4,92,12,open-meteo,37.7,37.7,29,84,22.7,900,50,42,4,4,0,92,36.0,96.8,24.2,75.6,76.4
Encino,34.155,-118.5,45000,19,16,105000,45,50,60,open-meteo,38.4,38.4,14,84,19.6,920,25,25,45,4,1,50,38.0,100.4,24.5,76.1,81.8
